"","TCGA-A2-A04P-01","TCGA-A2-A0CW-01","TCGA-A2-A0T5-01","TCGA-A7-A5ZW-01","TCGA-A8-A06T-01","TCGA-A8-A081-01","TCGA-A8-A08F-01","TCGA-AN-A046-01","TCGA-AN-A0AS-01","TCGA-AR-A1AM-01","TCGA-B6-A0IJ-01","TCGA-BH-A0HF-01","TCGA-C8-A12Q-01","TCGA-E2-A10C-01","TCGA-E2-A15P-01","TCGA-E2-A1LS-01","TCGA-E9-A249-01"
"GTEX-13O3O-0826-SM-5K7WE",0.131501831501832,0.044459706959707,0.313095238095238,0.51790293040293,0.0032967032967033,0.0434065934065934,0.0172161172161172,0.135164835164835,0.341346153846154,0.330906593406593,0.103159340659341,0.391071428571429,0.285027472527473,0.123763736263736,0.288461538461538,0.124313186813187,0.154258241758242
"GTEX-13PL6-2926-SM-5L3I2",0.158287545787546,0.100503663003663,0.28525641025641,0.421291208791209,0.168772893772894,0.240155677655678,0.00943223443223443,0.0457875457875458,0.0488095238095238,0.582509157509157,0.143543956043956,0.33209706959707,0.358928571428571,0.296703296703297,0.486034798534799,0.159203296703297,0.271016483516483
"GTEX-13QIC-2326-SM-5LU5N",0.0304487179487179,0.155311355311355,0.238049450549451,0.412637362637363,0.175641025641026,0.288324175824176,0.0622710622710623,0.043543956043956,0.0488553113553114,0.579487179487179,0.0806318681318681,0.398626373626374,0.508791208791209,0.275412087912088,0.562362637362637,0.155769230769231,0.280769230769231
"GTEX-13W3W-1226-SM-5LU4H",0.131684981684982,0.0849358974358974,0.192673992673993,0.372985347985348,0.12202380952381,0.176236263736264,0.0116300366300366,-0.0139194139194139,0.0896978021978022,0.55,0.145924908424908,0.307509157509158,0.482326007326007,0.273305860805861,0.525686813186813,0.169734432234432,0.248626373626374
"GTEX-145ME-1526-SM-5Q5F2",-0.15728021978022,0.0437728937728938,-0.135531135531136,0.0937728937728938,0.123946886446886,0.0453296703296703,0.00508241758241758,0.0929029304029304,0.0225274725274725,0.0470238095238095,-0.110119047619048,0.135668498168498,0.17779304029304,0.0146520146520147,0.200869963369963,0.0758241758241758,0.117994505494505
"GTEX-146FH-0826-SM-5SI8T",0.0193681318681319,0.0861721611721612,0.0896978021978022,0.375412087912088,0.165934065934066,0.192490842490843,0.112637362637363,0.0374084249084249,0.133791208791209,0.445192307692308,0.0954212454212454,0.377289377289377,0.443681318681319,0.229258241758242,0.478708791208791,0.0248626373626374,0.157234432234432
"GTEX-14AS3-1626-SM-5S2OY",0.325869963369963,0.102838827838828,0.436446886446886,0.450869963369963,0.158195970695971,0.125320512820513,-0.00691391941391941,0.101190476190476,0.0675824175824176,0.516483516483516,0.26007326007326,0.512591575091575,0.195833333333333,0.221153846153846,0.323122710622711,0.26771978021978,0.103021978021978
"GTEX-Q2AG-0326-SM-48U1O",0.16771978021978,0.209111721611722,0.326007326007326,0.453754578754579,0.228846153846154,0.266895604395604,0.136996336996337,0.156501831501832,0.170512820512821,0.710302197802198,0.0532967032967033,0.368360805860806,0.501556776556777,0.390705128205128,0.59459706959707,0.155769230769231,0.299221611721612
"GTEX-QDT8-0626-SM-48TYW",0.093040293040293,0.0760531135531135,0.213324175824176,0.380082417582418,0.200274725274725,0.277197802197802,-0.00238095238095238,-0.0429945054945055,-0.00517399267399267,0.615521978021978,0.155311355311355,0.320192307692308,0.442078754578755,0.263827838827839,0.562591575091575,0.157417582417582,0.264377289377289
"GTEX-QVJO-1826-SM-447C9",0.0274725274725275,0.0236721611721612,0.128342490842491,0.314972527472527,0.0148351648351648,0.0143772893772894,0.0426739926739927,0.0725732600732601,0.148855311355311,0.368498168498168,-0.0990384615384615,0.277335164835165,0.252335164835165,0.12293956043956,0.323122710622711,0.0289835164835165,0.10279304029304
