"record_id","name","ensembl","biomarker_type","biomarker_direction","biomaker_name"
"BiomarkerKG520740348","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG520740348","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG520740348","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG401560374","BRCA1","ENSG00000012048","Mutation","Positive","BRCA1 Mutation Positive"
"BiomarkerKG401560374","BRCA2","ENSG00000139618","Mutation","Positive","BRCA2 Mutation Positive"
"BiomarkerKG1724463496","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1724463496","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1724463496","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1740692542","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1321499911","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1321499911","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1321499911","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1507974875","ERBB2","ENSG00000141736","Protein Expression","Positive/Negative","ERBB2 Protein Expression Positive/Negative"
"BiomarkerKG1507974875","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG1507974875","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG1984253007","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1984253007","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG312954487","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG312954487","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG312954487","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG363600322","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
