"","pert_iname","mean","n","median","sd","sRGES"
"1871","BRD-K50266413",-0.549547509956627,2,-0.549547509956627,0.0814927143868003,-0.549547509956627
"1872","BRD-K85388022",-0.549547509956627,1,-0.549547509956627,NA,-0.549547509956627
"1873","BRD-K03669312",-0.549524004327028,1,-0.549524004327028,NA,-0.549524004327028
"1874","BRD-K87730884",-0.549418228993836,1,-0.549418228993836,NA,-0.549418228993836
"1875","BRD-K87791256",-0.549406476179037,1,-0.549406476179037,NA,-0.549406476179037
"1876","BRD-K12707296",-0.549366095204301,2,-0.549366095204301,0.12138535808358,-0.549366095204301
"1877","BRD-K97364711",-0.549244653173126,2,-0.549244653173126,0.306561382699437,-0.549244653173126
"1878","BRD-K67769696",-0.548995127661067,1,-0.548995127661067,NA,-0.548995127661067
"1879","BRD-K80062189",-0.548974869164164,3,-0.528867582835088,0.0615546921920218,-0.548974869164164
"1880","BRD-K74782274",-0.548783576994682,1,-0.548783576994682,NA,-0.548783576994682
"1881","BRD-K29368169",-0.548689554476289,1,-0.548689554476289,NA,-0.548689554476289
"1882","BRD-K31380618",-0.548479264096348,9,-0.604752838304774,0.254971871739311,-0.548479264096348
"1883","BRD-K39561907",-0.548430992550708,1,-0.548430992550708,NA,-0.548430992550708
"1884","BRD-K26212796",-0.548219441884323,1,-0.548219441884323,NA,-0.548219441884323
"1885","BRD-K80738071",-0.548160677810328,1,-0.548160677810328,NA,-0.548160677810328
"1886","BRD-K88449712",-0.547937374329144,1,-0.547937374329144,NA,-0.547937374329144
"1887","BRD-K59323544",-0.547904832286023,2,-0.547904832286023,0.33574015814566,-0.547904832286023
"1888","BRD-K53421673",-0.547743009280112,1,-0.547743009280112,NA,-0.547743009280112
"1889","BRD-K46645809",-0.54766941682533,1,-0.54766941682533,NA,-0.54766941682533
"1890","haloprogin",-0.547592844518929,3,-0.594715934466305,0.0946727360777875,-0.547592844518929
"1891","BRD-K75512942",-0.547561284255571,1,-0.547561284255571,NA,-0.547561284255571
"1892","betaescin",-0.547534080444933,3,-0.568518910279012,0.0528712737509123,-0.547534080444933
"1893","BRD-K84471959",-0.547296402317745,1,-0.547296402317745,NA,-0.547296402317745
"1894","BRD-K31295191",-0.547274698493631,4,-0.535385368123658,0.170941500445422,-0.547274698493631
"1895","BRD-K81658952",-0.5472700605653,3,-0.679134045931993,0.400486894871437,-0.5472700605653
"1896","BRD-K94412749",-0.547212321679966,3,-0.700294545373006,0.269831481054238,-0.547212321679966
"1897","BRD-K52369815",-0.547191070589398,2,-0.547191070589398,0.10212767357734,-0.547191070589398
"1898","BRD-K20790586",-0.547178874169753,1,-0.547178874169753,NA,-0.547178874169753
"1899","BRD-K73639776",-0.546844362552824,1,-0.546844362552824,NA,-0.546844362552824
"1900","BRD-K86466947",-0.54662105907164,1,-0.54662105907164,NA,-0.54662105907164
"1901","VU-0415113-1",-0.54661796643236,5,-0.530298756552194,0.0497229171629426,-0.54661796643236
"1902","BRD-K86981020",-0.546614739059394,1,-0.546614739059394,NA,-0.546614739059394
"1903","BRD-K65567503",-0.546611819719318,2,-0.546611819719318,0.272431093910662,-0.546611819719318
"1904","BRD-K17891672",-0.546591677034642,1,-0.546591677034642,NA,-0.546591677034642
"1905","BRD-K75091523",-0.546491778108849,1,-0.546491778108849,NA,-0.546491778108849
"1906","BRD-K85536714",-0.546409508405255,2,-0.546409508405255,0.141594214534193,-0.546409508405255
"1907","BRD-K01520647",-0.546332671504215,1,-0.546332671504215,NA,-0.546332671504215
"1908","BRD-K44302407",-0.546233216183268,1,-0.546233216183268,NA,-0.546233216183268
"1909","BRD-K89994146",-0.546209389445847,5,-0.554721105704816,0.13565773311643,-0.546209389445847
"1910","BRD-K02159117",-0.545998159887285,1,-0.545998159887285,NA,-0.545998159887285
"1911","BRD-K54972173",-0.545939395813289,1,-0.545939395813289,NA,-0.545939395813289
"1912","diaminoquinazoline",-0.545674107997864,1,-0.545674107997864,NA,-0.545674107997864
"1913","BRD-K27117623",-0.545563305739717,1,-0.545563305739717,NA,-0.545563305739717
"1914","BRD-K32014638",-0.545551552924918,1,-0.545551552924918,NA,-0.545551552924918
"1915","BRD-K67485291",-0.545445777591725,1,-0.545445777591725,NA,-0.545445777591725
"1916","BRD-K87182158",-0.545434024776926,1,-0.545434024776926,NA,-0.545434024776926
"1917","levocetirizine",-0.545337817931894,2,-0.545337817931894,0.0129707950065863,-0.545337817931894
"1918","BRD-K87341885",-0.545234226925341,1,-0.545234226925341,NA,-0.545234226925341
"1919","BRD-K37344040",-0.54496391218496,1,-0.54496391218496,NA,-0.54496391218496
"1920","BRD-K21643869",-0.544934086543117,1,-0.544934086543117,NA,-0.544934086543117
"1921","BRD-K79355010",-0.544840507629569,1,-0.544840507629569,NA,-0.544840507629569
"1922","BRD-K41215666",-0.544825594808648,2,-0.544825594808648,0.230836151872135,-0.544825594808648
"1923","BRD-K38611276",-0.544443628327676,2,-0.544443628327676,0.382012367190336,-0.544443628327676
"1924","BRD-K72449498",-0.544258743297012,1,-0.544258743297012,NA,-0.544258743297012
"1925","BRD-K79992300",-0.544185066402094,2,-0.544185066402094,0.354131283674722,-0.544185066402094
"1926","BRD-K47261397",-0.54383248195812,2,-0.54383248195812,0.508232165895896,-0.54383248195812
"1927","BRD-K67653084",-0.543812136334644,1,-0.543812136334644,NA,-0.543812136334644
"1928","BRD-K31367750",-0.543732044857409,3,-0.624488484040926,0.202433022258496,-0.543732044857409
"1929","BRD-K42595694",-0.54331851811308,1,-0.54331851811308,NA,-0.54331851811308
"1930","BRD-K87779281",-0.543191594386856,1,-0.543191594386856,NA,-0.543191594386856
"1931","BRD-K35189425",-0.543127313070171,2,-0.543127313070171,0.269405159364399,-0.543127313070171
"1932","BRD-K22447604",-0.5430482033727,1,-0.5430482033727,NA,-0.5430482033727
"1933","BRD-K74647590",-0.5430482033727,2,-0.5430482033727,0.443364910517621,-0.5430482033727
"1934","BRD-K44589075",-0.542892256774189,2,-0.542892256774189,0.383068427412724,-0.542892256774189
"1935","BRD-K63181962",-0.542315830674113,3,-0.473218004761139,0.253638779162619,-0.542315830674113
"1936","BRD-K60462241",-0.542237259151559,1,-0.542237259151559,NA,-0.542237259151559
"1937","BRD-K55697606",-0.542202000707161,1,-0.542202000707161,NA,-0.542202000707161
"1938","BRD-K49441594",-0.542164557936125,2,-0.542164557936125,0.0767160674921233,-0.542164557936125
"1939","BRD-K45803728",-0.542107978188768,1,-0.542107978188768,NA,-0.542107978188768
"1940","BRD-K89447773",-0.542066843336971,1,-0.542066843336971,NA,-0.542066843336971
"1941","tacrine",-0.542047029788134,2,-0.542047029788134,0.142331960838213,-0.542047029788134
"1942","BRD-K83675132",-0.541908180337183,1,-0.541908180337183,NA,-0.541908180337183
"1943","BRD-K88575585",-0.541804762240557,1,-0.541804762240557,NA,-0.541804762240557
"1944","BRD-K62337120",-0.541655494819001,1,-0.541655494819001,NA,-0.541655494819001
"1945","BRD-K55260239",-0.541391895972792,7,-0.638569205652746,0.222553511309852,-0.541391895972792
"1946","BRD-K26694002",-0.541320539597226,1,-0.541320539597226,NA,-0.541320539597226
"1947","BRD-K25214457",-0.541240627130198,1,-0.541240627130198,NA,-0.541240627130198
"1948","fenpiverinium",-0.541231544003788,1,-0.541231544003788,NA,-0.541231544003788
"1949","BRD-K84145110",-0.541085483301243,1,-0.541085483301243,NA,-0.541085483301243
"1950","BRD-K36909552",-0.54079402016783,1,-0.54079402016783,NA,-0.54079402016783
"1951","SA-424371",-0.540654251022044,3,-0.758635518035959,0.496263533163998,-0.540654251022044
"1952","BRD-K41871066",-0.54064096042425,6,-0.586270358414836,0.271099834204723,-0.54064096042425
